auditorLabel	transferLabel	trueLabel
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
0.0	11.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
0.0	10.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
0.0	9.0	4.0
0.0	11.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
0.0	11.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
0.0	11.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
0.0	6.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
0.0	13.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
1.0	4.0	4.0
